Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0x953c8961a3e8a2a8139015436080583a3e141944,0.0,,0.0,,0.0,,0.0933133231,0.0,0.0
0xdd0516301b25327f56d7aa8f6e3357163a308ef3,0.0,,0.0,,0.0,,1.0567884446,0.0,0.0
0x108d3eefa3722affd4b9098cf65e7e7e970d096e,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x929de53d40befff36e459cf5f9e0a30417b145ac,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x811d1e9897c99f6fcf35e294519e78fc08cd3e3a,0.0,,0.0,,0.0,,0.0,0.2703823899,0.0
0xa59d4d9e0bc0bd2c7d3a7009e429a44b668ac6ca,0.0,,0.0,,0.0,,0.0,0.0,0.1453154254
0xff604a48cc86e4c76e6fd76a88f4203e11be47bc,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xe17fcedce857c1a58dd10cc00446b81ea36ffda2,0.0,,0.0,,0.0,,0.0,0.0,5736.237118460501
0x0c7d7bc28f7ff5760ffd392dc47472cff78b1e2b,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x75c8008524dc796b2316a7d5fd39cc87a0812781,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x9c2a6f90f56ff0d037899caf0c33a4c044b3e3f8,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x3d96207b9f13249bc8066a5eef94df1b7fcf04a1,0.0,,0.0,,0.0,,0.0,0.0,7952.3355581338
0x9e7befeeb98d707122962df965bcc6a7a811ded7,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xe321f3fbca5eb338ff1cff8d72960cc3d049e080,0.0,,0.0,,0.0,,4.2399875638,0.0,0.0
0x3938f45645ec03d589088411c3d6ed9ff06464cd,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x675674d48bda6aec47096331a60e102aad492d19,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8f33cec3629a3e439a2f28970f9a4d197ff7579a,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x72ef735e77550a4c37ef799597dd822c10247648,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa1ae0e2007a74bf3c18e1f2bc8fc88188e44576e,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xdb20b6a9bd3d9c916955860545c64f7b5eaba0e9,0.0,,0.0,,0.0,,0.0,1.4446815508,0.0
0xd2a8ee62757380d0c878843661aaed505fa6a386,0.0,,0.0,,0.0,,0.0,0.0,0.0
